ID,ID_reference,class
63557720,46246874,Parallelism
21247504,34319023,Duplicate
49940386,6237684,Parallelism
43232958,43233152,Parallelism
32945482,11782008,Containment
12848927,12698691,Duplicate
7493336,7433735,Duplicate
61913426,14243688,Priori
32739682,30383876,Priori
37330016,37330201,Parallelism
51410189,38318941,Priori
50132277,50018639,Duplicate
14451777,10851904,Duplicate
4853462,4402599,Duplicate
37628864,19078088,Containment
2737392,2729534,Duplicate
7131566,7132264,Duplicate
58945632,14346168,Duplicate
43642060,12535731,Duplicate
62064822,36955053,Priori
13771277,13726983,Parallelism
4770382,4770356,Priori
22063807,22059356,Parallelism
56148325,53944525,Priori
35836294,23899551,Priori
34724068,34723835,Duplicate
46342928,45401735,Duplicate
12320078,12319879,Priori
4111938,3497939,Containment
21607334,19548049,Duplicate
49701944,44597697,Priori
24738355,16763688,Duplicate
12344298,11943107,Containment
52324833,52324792,Containment
13539386,13539266,Priori
31542447,31542950,Duplicate
62829366,56078171,Posterior
33062471,17587751,Posterior
15790622,15787053,Posterior
59724998,59695554,Posterior
28882691,24397159,Posterior
60721332,35491274,Posterior
45907915,15746335,Posterior
26468330,7015874,Posterior
20709882,3033007,Posterior
56769297,38340078,Posterior
33946709,910740,Posterior
21437734,17677304,Posterior
15824616,3887590,Posterior
53723176,18231860,Containment
53723176,26603589,Containment
59275509,703073,Posterior
39899217,34190447,Posterior
41848360,15116116,Posterior
33124640,4604036,Posterior
55058978,54861921,Posterior
53035816,52521201,Posterior
2045642,602822,Posterior
42113474,39765591,Posterior
23462936,22515948,Posterior
53765070,52017677,Posterior
20573875,794592,Posterior
58166520,50780314,Posterior
9574151,5873071,Posterior
58226827,33262376,Posterior
2153085,2289740,Posterior
46318982,11793684,Posterior
10474920,145714,Posterior
32657684,10167990,Posterior
8242894,38711,Posterior
33711004,8767450,Posterior
58104981,5708510,Posterior
53434147,43051793,Posterior
15612681,9720665,Posterior
16832908,16492261,Posterior
61876026,1055861,Posterior
25803708,24980210,Posterior
34008444,12358892,Posterior
56665941,2068407,Posterior
8037476,4948508,Posterior
28335590,1729545,Posterior
57228777,54359875,Posterior
47773370,44588567,Posterior
14506426,41598,Posterior
32470363,325964,Posterior
35545027,34732579,Posterior
36244816,18117469,Posterior
14766446,14766372,Posterior
50587225,2707554,Posterior
18816670,7169467,Posterior
15961639,15234631,Posterior
62829366,56078171,Posterior
33062471,17587751,Posterior
15790622,15787053,Posterior
59724998,59695554,Posterior
28882691,24397159,Posterior
60721332,35491274,Posterior
45907915,15746335,Posterior
26468330,7015874,Posterior
20709882,3033007,Posterior
56769297,38340078,Posterior
33946709,910740,Posterior
21437734,17677304,Posterior
15824616,3887590,Posterior
53723176,18231860,Containment
53723176,26603589,Containment
59275509,703073,Posterior
39899217,34190447,Posterior
41848360,15116116,Posterior
33124640,4604036,Posterior
55058978,54861921,Posterior
53035816,52521201,Posterior
2045642,602822,Posterior
42113474,39765591,Posterior
23462936,22515948,Posterior
53765070,52017677,Posterior
20573875,794592,Posterior
58166520,50780314,Posterior
9574151,5873071,Posterior
58226827,33262376,Posterior
2153085,2289740,Posterior
46318982,11793684,Posterior
10474920,145714,Posterior
32657684,10167990,Posterior
8242894,38711,Posterior
33711004,8767450,Posterior
58104981,5708510,Posterior
53434147,43051793,Posterior
15612681,9720665,Posterior
16832908,16492261,Posterior
61876026,1055861,Posterior
25803708,24980210,Posterior
34008444,12358892,Posterior
56665941,2068407,Posterior
8037476,4948508,Posterior
28335590,1729545,Posterior
57228777,54359875,Posterior
47773370,44588567,Posterior
14506426,41598,Posterior
32470363,325964,Posterior
35545027,34732579,Posterior
36244816,18117469,Posterior
14766446,14766372,Posterior
50587225,2707554,Posterior
18816670,7169467,Posterior
15961639,15234631,Posterior
62829366,56078171,Posterior
33062471,17587751,Posterior
15790622,15787053,Posterior
59724998,59695554,Posterior
28882691,24397159,Posterior
60721332,35491274,Posterior
45907915,15746335,Posterior
26468330,7015874,Posterior
20709882,3033007,Posterior
56769297,38340078,Posterior
33946709,910740,Posterior
21437734,17677304,Posterior
15824616,3887590,Posterior
53723176,18231860,Containment
53723176,26603589,Containment
59275509,703073,Posterior
39899217,34190447,Posterior
41848360,15116116,Posterior
33124640,4604036,Posterior
55058978,54861921,Posterior
53035816,52521201,Posterior
2045642,602822,Posterior
42113474,39765591,Posterior
23462936,22515948,Posterior
53765070,52017677,Posterior
20573875,794592,Posterior
58166520,50780314,Posterior
9574151,5873071,Posterior
58226827,33262376,Posterior
2153085,2289740,Posterior
46318982,11793684,Posterior
10474920,145714,Posterior
32657684,10167990,Posterior
8242894,38711,Posterior
33711004,8767450,Posterior
58104981,5708510,Posterior
53434147,43051793,Posterior
15612681,9720665,Posterior
16832908,16492261,Posterior
61876026,1055861,Posterior
25803708,24980210,Posterior
34008444,12358892,Posterior
56665941,2068407,Posterior
8037476,4948508,Posterior
28335590,1729545,Posterior
57228777,54359875,Posterior
47773370,44588567,Posterior
14506426,41598,Posterior
32470363,325964,Posterior
35545027,34732579,Posterior
36244816,18117469,Posterior
14766446,14766372,Posterior
50587225,2707554,Posterior
18816670,7169467,Posterior
15961639,15234631,Posterior
3591876,122291,Parallelism
9831492,8510751,Priori
8037476,4948508,Parallelism
57160952,46867399,Parallelism
42604516,263416,Parallelism
31284251,26116497,Parallelism
51063806,56669587,Parallelism
1673912,481026,Parallelism
28251508,39295456,Parallelism
4170360,4170345,Parallelism
6079116,6079086,Parallelism
60013277,58987318,Parallelism
21943311,21942981,Parallelism
10490318,9566508,Priori
56114534,1639625,Parallelism
58468317,36662322,Parallelism
50859211,50755479,Duplicate
14349182,1176910,Duplicate
61576625,17585730,Priori
58167603,58024830,Duplicate
48020809,43564490,Parallelism
53657911,34510,Priori
26206322,5441893,Containment
21931268,11052202,Duplicate
10895284,3913512,Duplicate
39907602,37533073,Duplicate
31317848,29792313,Priori
1191573,639694,Containment
39521233,39520477,Priori
15193071,5002360,Priori
7062698,1057789,Priori
23191574,1180860,Parallelism
48739311,1596221,Parallelism
50322960,43416178,Priori
16987344,10830014,Priori
39382345,39371301,Containment
7190634,7067672,Duplicate
64114501,58384999,Duplicate
40129272,28250018,Priori
36715495,927358,Containment
24854243,1634268,Priori
23207318,2610497,Parallelism
39038395,8238407,Duplicate
16404835,11916706,Duplicate
47763357,47763274,Priori
43288955,3225897,Priori
37008037,12688092,Parallelism
20755247,3177733,Duplicate
42553470,40280936,Parallelism
54036606,16608878,Duplicate
8905100,6709520,Containment
45249990,7782641,Priori
49536151,44493378,Priori
11022504,772841,Containment
20387320,20386943,Parallelism
36688522,16518556,Priori
11104317,5577334,Priori
32194064,32110312,Parallelism
41946720,13596901,Duplicate
22630641,22630970,Containment
45275785,45242774,Priori
35364450,16871792,Duplicate
28958761,249791,Parallelism
31159517,3177364,Priori
33083281,32246845,Duplicate
9083131,1919972,Priori
51732351,6976917,Priori
47272010,47271992,Parallelism
45846807,1299871,Parallelism
3264933,176775,Priori
24668856,24630230,Duplicate
34244418,273313,Containment
21340358,11689204,Parallelism
56053688,56053684,Containment
20364767,19699484,Posterior
14033526,11241080,Duplicate
34029362,34029336,Duplicate
58256472,58197730,Priori
49494432,10407159,Duplicate
19007861,18339696,Priori
19235746,6416763,Parallelism
36313106,12433558,Priori
17224376,3293398,Parallelism
29142712,17544141,Containment
57430530,24902615,Priori
55287343,53073475,Priori
2000182,1940841,Parallelism
19800462,13861640,Duplicate
15090520,15104784,Duplicate
5064412,4579666,Duplicate
16106468,3885783,Containment
25786002,21525034,Priori
41502084,41378447,Posterior
57305269,28120222,Containment
48960835,3514158,Duplicate
45267146,12255071,Posterior
14279605,14279571,Duplicate
1037530,1026805,Duplicate
26210889,21246294,Duplicate
51449806,24363363,Priori
53160860,16279856,Parallelism
50181022,6958886,Duplicate
46955340,212350,Priori
12122761,4056860,Priori
17765909,8231877,Duplicate
17653634,10767768,Priori
64635870,48509863,Priori
5396885,4719160,Duplicate
61817010,53614077,Parallelism
38264057,4766201,Duplicate
26032203,11342897,Containment
18393065,10859966,Duplicate
28062433,6414278,Priori
42761534,20018503,Priori
44129460,37102397,Priori
52267430,32814653,Duplicate
12069418,138313,Parallelism
30464753,604424,Containment
52425245,15087131,Parallelism
8315494,393870,Containment
5557032,4636477,Containment
54755521,51844327,Containment
7207370,720177,Duplicate
20368439,9436219,Parallelism
6905403,6905360,Parallelism
6135899,2808121,Priori
50579428,48041821,Containment
48802595,48764063,Priori
9274715,997779,Duplicate
3965851,3959953,Parallelism
50563188,48762782,Parallelism
17092139,16823729,Duplicate
52962411,31011265,Containment
24119718,23458891,Priori
6088628,1259208,Containment
53708630,43573500,Containment
31479429,1325673,Parallelism
34577007,12043956,Duplicate
31057575,31057149,Containment
50924248,7782113,Parallelism
28051492,27770401,Priori
59121094,23824577,Containment
15594144,7814089,Containment
35260511,18310392,Containment
50389085,28060976,Duplicate
16060900,12271016,Parallelism
15028080,314426,Priori
14592765,337704,Containment
35801469,30987866,Duplicate
1384055,1363509,Duplicate
38492541,27772010,Parallelism
27658385,27644615,Duplicate
11601718,8888045,Parallelism
21740341,11439859,Containment
22912367,18387239,Containment
3195997,760321,Priori
13448457,13201532,Priori
41981313,9444915,Parallelism
25309158,23832492,Duplicate
22458368,9187624,Containment
40678394,5600084,Duplicate
21055945,299304,Priori
41970087,41969989,Duplicate
7933140,1032006,Parallelism
35855744,29648907,Priori
59495197,52626726,Containment
28700943,14890164,Duplicate
23787717,23787500,Duplicate
24082936,16193873,Parallelism
62855917,50694881,Parallelism
34153184,31529841,Containment
31236594,427297,Priori
58488437,56826692,Parallelism
11073448,2283374,Duplicate
21879042,11164789,Containment
13185231,5289147,Duplicate
13404182,2380553,Containment
34926586,19382017,Parallelism
23048743,9444503,Duplicate
34222527,4441865,Containment
50715512,40252885,Duplicate
25165306,1099759,Duplicate
30100656,11737193,Containment
64456161,7355187,Containment
23801941,7134825,Parallelism
55952283,55949218,Priori
9989857,7719114,Duplicate
5353429,80802,Priori
52768429,33909390,Parallelism
11269732,1461533,Parallelism
5335897,4682742,Posterior
21119747,7486130,Priori
54084074,52535553,Priori
34855009,31824572,Containment
59784681,59367964,Duplicate
34459189,609382,Parallelism
32967457,8168051,Containment
4369278,4368913,Priori
51170356,31346246,Duplicate
38858841,36484282,Parallelism
24753570,24753111,Priori
15583095,12756567,Containment
14484298,8836530,Parallelism
5850656,3882999,Containment
12404607,1436663,Parallelism
8089165,6268518,Containment
39549011,10410180,Parallelism
14625786,1641444,Duplicate
39937838,39911076,Parallelism
43376142,43374766,Parallelism
43624914,21797534,Parallelism
49479479,18156824,Parallelism
25859897,16804205,Containment
13585004,7307083,Containment
18412398,14682688,Containment
23036282,20733805,Priori
28661852,23168236,Containment
38776806,30878607,Duplicate
42395186,18738486,Priori
43135556,7310570,Containment
14473819,3465681,Duplicate
20963038,20119324,Priori
1452054,1371813,Priori
12657628,3368818,Parallelism
9467279,946790,Containment
60687791,2204058,Priori
16858703,16300933,Containment
61490554,23818216,Parallelism
58674092,15138614,Duplicate
17173198,5941809,Priori
60371074,48376890,Duplicate
33057009,19344462,Containment
31591020,10232574,Parallelism
21929588,21853803,Duplicate
19358487,7651980,Parallelism
37084306,3496971,Containment
54555892,53095542,Duplicate
40705122,28219848,Parallelism
61235902,55829661,Parallelism
5279044,5204928,Parallelism
6747990,6723929,Priori
23940270,19849122,Priori
36479210,127116,Parallelism
1995039,1986825,Priori
29973384,8151300,Priori
5812749,3453616,Containment
9578742,8882582,Priori
2035427,2025839,Containment
21712525,204476,Containment
17113393,17112872,Priori
33488815,16329566,Parallelism
7861712,3808737,Posterior
57071132,31419897,Containment
50180078,17688428,Parallelism
53651461,5174773,Containment
14977999,14954742,Containment
461836,452139,Priori
17877128,1732454,Containment
61202633,36938363,Duplicate
63071430,28994875,Containment
34271765,34066637,Duplicate
23330783,9104880,Priori
58373109,58372995,Duplicate
52709590,7869711,Parallelism
17886642,86083,Containment
23473760,2007192,Duplicate
673779,392721,Parallelism
5143139,2713410,Containment
34937891,8659693,Containment
16764807,4277567,Parallelism
48802231,2365993,Priori
41747248,3609963,Duplicate
29945995,4962559,Duplicate
56177924,469951,Priori
54505560,21781604,Containment
32216603,17486746,Priori
10503276,2124351,Parallelism
8759384,3342984,Containment
40513024,9847580,Containment
24497435,19387428,Containment
20749115,9486961,Priori
56199104,31014515,Priori
38312668,33949786,Priori
50076627,50076692,Priori
47802254,27856603,Priori
17180646,5909910,Parallelism
42080033,605845,Containment
42762845,11945876,Containment
49457750,49457487,Priori
5637623,4729406,Duplicate
57438860,48167596,Containment
49995468,37618892,Duplicate
31992335,31192183,Duplicate
48430509,43218971,Containment
52166479,45881069,Duplicate
445990,444757,Priori
35129590,533905,Containment
56521245,44746794,Parallelism
59857806,29713230,Priori
40702273,767759,Containment
20858435,19715225,Priori
10920239,8127421,Containment
64322081,50229840,Containment
24517948,15023517,Containment
33382440,9650265,Containment
37847945,6652253,Duplicate
3360122,2562523,Parallelism
20909904,2737388,Containment
14135495,1300655,Containment
46120887,23429888,Priori
39399145,42655,Priori
52759171,13808405,Duplicate
34844855,10041410,Parallelism
56143201,6045897,Priori
36671495,9067108,Containment
48018137,27388443,Containment
39416277,25858722,Containment
46566556,44679222,Duplicate
17463332,15993339,Containment
20552090,14739996,Parallelism
62267353,23729883,Parallelism
51178373,48586895,Containment
37045324,27804315,Parallelism
12942027,860966,Duplicate
22592428,8744107,Containment
40331408,11227809,Containment
9719438,5744506,Duplicate
40984318,509211,Containment
65008911,53395147,Duplicate
42779743,42779656,Duplicate
23770934,845021,Containment
54151880,16031145,Parallelism
10162267,881112,Containment
47522431,12073513,Containment
32279134,17378538,Containment
39785991,13725747,Containment
36199764,11032810,Priori
42559922,42541111,Priori
15594289,10457872,Priori
21272056,13258259,Parallelism
45656354,28081308,Containment
22201054,22201492,Posterior
47845960,23201616,Containment
1524228,1087724,Priori
23840190,8567114,Parallelism
35538285,1096554,Parallelism
17421847,747210,Parallelism
25247944,21938907,Priori
29689842,29665257,Duplicate
64375732,54334701,Parallelism
63364970,42449814,Duplicate
3713144,797575,Priori
53324567,45935179,Containment
41669526,36320421,Containment
47915341,32976966,Priori
61536922,2624427,Parallelism
38174370,31134333,Containment
48318512,16919580,Priori
55099187,29646301,Parallelism
3969690,3946968,Priori
15024789,6211911,Containment
26110583,12800007,Containment
6018814,4245552,Duplicate
43058497,35064386,Priori
26895604,20139404,Parallelism
42866470,28320630,Priori
28857893,1892107,Containment
58290664,7668502,Duplicate
53300974,22130100,Parallelism
11852284,11727151,Posterior
33173101,18063395,Duplicate
48977514,39054414,Duplicate
61246373,14188654,Containment
50666146,31847406,Priori
38727796,12015128,Containment
44571549,44367672,Duplicate
11400910,9954201,Duplicate
48165612,45100442,Containment
42186943,3098817,Priori
24357745,2562051,Parallelism
28301600,28300593,Parallelism
63248549,4839672,Duplicate
31811539,26517961,Parallelism
35339987,34807397,Duplicate
19205621,1171749,Duplicate
48775755,17309288,Containment
61944771,17994666,Containment
37260652,30397631,Parallelism
30502239,17941053,Containment
29408903,18667929,Parallelism
2673480,2673085,Containment
26292823,17333335,Parallelism
15413711,6028033,Containment
44006393,156503,Containment
15360223,1834077,Duplicate
21202197,51438,Priori
8890138,6402729,Priori
35973669,4088921,Containment
47101277,43396499,Duplicate
3203795,318988,Duplicate
5853905,3803521,Duplicate
28372562,3277503,Containment
60177861,53217838,Priori
38590291,3717292,Parallelism
47610433,34434921,Parallelism
5173764,3837115,Priori
58619685,39049188,Parallelism
54937014,49868852,Parallelism
57944293,4233873,Containment
39064895,13347389,Duplicate
44613361,8251933,Priori
22544694,82875,Containment
39545226,17209717,Priori
36943605,29841384,Duplicate
1965989,464722,Parallelism
35830285,14942678,Containment
47884962,54331080,Duplicate
1862697,727502,Duplicate
13371562,6304268,Parallelism
13888162,4240740,Priori
19630036,8847876,Containment
5548415,4093014,Duplicate
41498281,34873307,Parallelism
34275080,http://jsfiddle.net/sctcmr1h/6/,Working Example
24253323,https://github.com/jflesch/pyinsane,Priori
45871187,https://www.ncbi.nlm.nih.gov/gene/?term=AGAP8#see-all,Working Example
7769083,http://www.amazon.com/gp/offer-listing/B001H8QHG0,Working Example
65122333,https://graph-tool.skewed.de/,Priori
33947944,http://play.golang.org/p/IVXHLBRuPK,Working Example
62990876,https://codeforces.com/contest/377/submission/87407476,Working Example
39613594,https://www.sql-server-performance.com/w2k-filesystem-affects-performance/,Priori
55606424,https://devcenter.bitrise.io/builds/build-artifacts-online/,Priori
48939604,https://www.google.com/recaptcha/api/siteverify,Working Example
40487188,https://github.com/google/guava/blob/v20.0/guava/src/com/google/common/base/Preconditions.java#L1122,Working Example
31431970,https://github.com/dart-lang/sdk/issues/17597,Parallelism
41002853,https://github.com/fukamachi/prove,Priori
53604318,https://github.com/libgdx/libgdx/wiki/Gradle-on-the-Commandline#packaging-the-project,Priori
38349024,https://firebase.google.com/docs/cloud-messaging/topic-messaging,Priori
25078817,https://www.tutorialspoint.com/spring/index.htm,Priori
10582836,https://docs.microsoft.com/en-us/dotnet/api/microsoft.office.interop.outlook.mailitem?redirectedfrom=MSDN&view=outlook-pia,Priori
21613111,http://primefooddistributor.com/about.htm,Priori
57575457,http://michaelscharf.blogspot.com/2006/09/dont-swallow-interruptedexception-call.html,Priori
8981612,http://jsfiddle.net/BmbWr/,Working Example
51794866,http://jsfiddle.net/sfm70xLe/,Working Example
51349489,http://postcodes.io,Priori
42637197,https://support.google.com/docs/answer/3093364?hl=en,Priori
63653546,https://pub.dev/packages/flutter_open_whatsapp,Priori
25223405,http://silviomoreto.github.io/bootstrap-select/,Priori
64063333,https://regex101.com/r/a1Lb9g/1/,Priori
19196657,http://jsfiddle.net/UjhjY/,Working Example
12052804,https://github.com/blueimp/jQuery-File-Upload/,Priori
12481560,http://jsfiddle.net/PVYut/1/,Working Example
58739830,https://tewkenbak.github.io/tewken/,Priori
16083243,https://github.com/iPaulPro/aFileChooser,Priori
51204773,https://en.wikipedia.org/wiki/Two%27s_complement#Converting_to_two,Working Example
19955091,https://github.com/KrisOzolins/NavBuilder/blob/master/navbuilder.php,Priori
58875627,https://i.stack.imgur.com/fIz2r.png,Working Example
4024837,http://www.jqueryui.com,Priori
37197257,http://tympanus.net/codrops/2015/03/31/prism-effect-slider-canvas/,Priori
41454457,http://jasonweaver.name/blog/velocity-js-vertical-slide-without-jquery,Parallelism
44186688,https://docs.valence.desire2learn.com/res/user.html,Priori
1579500,http://jqueryui.com/demos/draggable/#visual-feedback,Priori
41532659,https://i.stack.imgur.com/GgMTL.png,Priori
